Width;Height;ClassId;Path
573;420;0;Train/0/window_tau_ext_17_spec_15900.png
573;420;0;Train/0/window_tau_ext_17_spec_15901.png
573;420;0;Train/0/window_tau_ext_17_spec_15902.png
573;420;0;Train/0/window_tau_ext_17_spec_15903.png
573;420;0;Train/0/window_tau_ext_17_spec_15904.png
573;420;0;Train/0/window_tau_ext_17_spec_15905.png
573;420;0;Train/0/window_tau_ext_17_spec_15906.png
573;420;0;Train/0/window_tau_ext_17_spec_15907.png
573;420;0;Train/0/window_tau_ext_17_spec_15908.png
573;420;0;Train/0/window_tau_ext_17_spec_15909.png
573;420;0;Train/0/window_tau_ext_17_spec_15910.png
573;420;0;Train/0/window_tau_ext_17_spec_15911.png
573;420;0;Train/0/window_tau_ext_17_spec_15912.png
573;420;0;Train/0/window_tau_ext_17_spec_15913.png
573;420;0;Train/0/window_tau_ext_17_spec_15914.png
573;420;0;Train/0/window_tau_ext_17_spec_15915.png
573;420;0;Train/0/window_tau_ext_17_spec_15916.png
573;420;0;Train/0/window_tau_ext_17_spec_15917.png
573;420;0;Train/0/window_tau_ext_17_spec_15918.png
573;420;0;Train/0/window_tau_ext_17_spec_15919.png
573;420;0;Train/0/window_tau_ext_17_spec_15920.png
573;420;0;Train/0/window_tau_ext_17_spec_15921.png
573;420;0;Train/0/window_tau_ext_17_spec_15922.png
573;420;0;Train/0/window_tau_ext_17_spec_15923.png
573;420;0;Train/0/window_tau_ext_17_spec_15924.png
573;420;0;Train/0/window_tau_ext_17_spec_15925.png
573;420;0;Train/0/window_tau_ext_17_spec_15926.png
573;420;0;Train/0/window_tau_ext_17_spec_15927.png
573;420;0;Train/0/window_tau_ext_17_spec_15928.png
573;420;0;Train/0/window_tau_ext_17_spec_15929.png
573;420;0;Train/0/window_tau_ext_17_spec_15930.png
573;420;0;Train/0/window_tau_ext_17_spec_15931.png
573;420;0;Train/0/window_tau_ext_17_spec_15932.png
573;420;0;Train/0/window_tau_ext_17_spec_15933.png
573;420;0;Train/0/window_tau_ext_17_spec_15934.png
573;420;0;Train/0/window_tau_ext_17_spec_15935.png
573;420;0;Train/0/window_tau_ext_17_spec_15936.png
573;420;0;Train/0/window_tau_ext_17_spec_15937.png
573;420;0;Train/0/window_tau_ext_17_spec_15938.png
573;420;0;Train/0/window_tau_ext_17_spec_15939.png
573;420;0;Train/0/window_tau_ext_17_spec_15940.png
573;420;0;Train/0/window_tau_ext_17_spec_15941.png
573;420;0;Train/0/window_tau_ext_17_spec_15942.png
573;420;0;Train/0/window_tau_ext_17_spec_15943.png
573;420;0;Train/0/window_tau_ext_17_spec_15944.png
573;420;0;Train/0/window_tau_ext_17_spec_15945.png
573;420;0;Train/0/window_tau_ext_17_spec_15946.png
573;420;0;Train/0/window_tau_ext_17_spec_15947.png
573;420;0;Train/0/window_tau_ext_17_spec_15948.png
573;420;0;Train/0/window_tau_ext_17_spec_15949.png
573;420;0;Train/0/window_tau_ext_17_spec_15950.png
573;420;0;Train/0/window_tau_ext_17_spec_15951.png
573;420;0;Train/0/window_tau_ext_17_spec_15952.png
573;420;0;Train/0/window_tau_ext_17_spec_15953.png
573;420;0;Train/0/window_tau_ext_17_spec_15954.png
573;420;0;Train/0/window_tau_ext_17_spec_15955.png
573;420;0;Train/0/window_tau_ext_17_spec_15956.png
573;420;0;Train/0/window_tau_ext_17_spec_15957.png
573;420;0;Train/0/window_tau_ext_17_spec_15958.png
573;420;0;Train/0/window_tau_ext_17_spec_15959.png
573;420;0;Train/0/window_tau_ext_17_spec_15960.png
573;420;0;Train/0/window_tau_ext_17_spec_15961.png
573;420;0;Train/0/window_tau_ext_17_spec_15962.png
573;420;0;Train/0/window_tau_ext_17_spec_15963.png
573;420;0;Train/0/window_tau_ext_17_spec_15964.png
573;420;0;Train/0/window_tau_ext_17_spec_15965.png
573;420;0;Train/0/window_tau_ext_17_spec_15966.png
573;420;0;Train/0/window_tau_ext_17_spec_15967.png
573;420;0;Train/0/window_tau_ext_17_spec_15968.png
573;420;0;Train/0/window_tau_ext_17_spec_15969.png
573;420;0;Train/0/window_tau_ext_17_spec_15970.png
573;420;0;Train/0/window_tau_ext_17_spec_15971.png
573;420;0;Train/0/window_tau_ext_17_spec_15972.png
573;420;0;Train/0/window_tau_ext_17_spec_15973.png
573;420;0;Train/0/window_tau_ext_17_spec_15974.png
573;420;0;Train/0/window_tau_ext_17_spec_15975.png
573;420;0;Train/0/window_tau_ext_17_spec_15976.png
573;420;0;Train/0/window_tau_ext_17_spec_15977.png
573;420;0;Train/0/window_tau_ext_17_spec_15978.png
573;420;0;Train/0/window_tau_ext_17_spec_15979.png
573;420;0;Train/0/window_tau_ext_17_spec_15980.png
573;420;0;Train/0/window_tau_ext_17_spec_15981.png
573;420;0;Train/0/window_tau_ext_17_spec_15982.png
